INFO  | com.logging.Logging | (Logging.java:14) --- test5
INFO  | com.logging.Logging | (Logging.java:14) --- test6
INFO  | com.logging.Logging | (Logging.java:14) --- test7
INFO  | com.logging.Logging | (Logging.java:14) --- test8
INFO  | com.logging.Logging | (Logging.java:14) --- test9
INFO  | com.logging.Logging | (Logging.java:14) --- test10
INFO  | com.logging.Logging | (Logging.java:14) --- test11
INFO  | com.logging.Logging | (Logging.java:14) --- test12
INFO  | com.logging.Logging | (Logging.java:14) --- test13
INFO  | com.logging.Logging | (Logging.java:14) --- test14
INFO  | com.logging.Logging | (Logging.java:14) --- test15
INFO  | com.logging.Logging | (Logging.java:14) --- test16
INFO  | com.logging.Logging | (Logging.java:14) --- test17
INFO  | com.logging.Logging | (Logging.java:14) --- test18
INFO  | com.logging.Logging | (Logging.java:14) --- test19
INFO  | com.logging.Logging | (Logging.java:14) --- test20
INFO  | com.logging.Logging | (Logging.java:14) --- test21
INFO  | com.logging.Logging | (Logging.java:14) --- test22
INFO  | com.logging.Logging | (Logging.java:14) --- test23
INFO  | com.logging.Logging | (Logging.java:14) --- test24
INFO  | com.logging.Logging | (Logging.java:14) --- test25
INFO  | com.logging.Logging | (Logging.java:14) --- test26
INFO  | com.logging.Logging | (Logging.java:14) --- test27
INFO  | com.logging.Logging | (Logging.java:14) --- test28
INFO  | com.logging.Logging | (Logging.java:14) --- test29
INFO  | com.logging.Logging | (Logging.java:14) --- test30
INFO  | com.logging.Logging | (Logging.java:14) --- test31
INFO  | com.logging.Logging | (Logging.java:14) --- test32
INFO  | com.logging.Logging | (Logging.java:14) --- test33
INFO  | com.logging.Logging | (Logging.java:14) --- test34
INFO  | com.logging.Logging | (Logging.java:14) --- test35
INFO  | com.logging.Logging | (Logging.java:14) --- test36
INFO  | com.logging.Logging | (Logging.java:14) --- test37
INFO  | com.logging.Logging | (Logging.java:14) --- test38
INFO  | com.logging.Logging | (Logging.java:14) --- test39
INFO  | com.logging.Logging | (Logging.java:14) --- test40
INFO  | com.logging.Logging | (Logging.java:14) --- test41
INFO  | com.logging.Logging | (Logging.java:14) --- test42
INFO  | com.logging.Logging | (Logging.java:14) --- test43
INFO  | com.logging.Logging | (Logging.java:14) --- test44
INFO  | com.logging.Logging | (Logging.java:14) --- test45
INFO  | com.logging.Logging | (Logging.java:14) --- test46
INFO  | com.logging.Logging | (Logging.java:14) --- test47
INFO  | com.logging.Logging | (Logging.java:14) --- test48
INFO  | com.logging.Logging | (Logging.java:14) --- test49
INFO  | com.logging.Logging | (Logging.java:14) --- test50
INFO  | com.logging.Logging | (Logging.java:14) --- test51
INFO  | com.logging.Logging | (Logging.java:14) --- test52
INFO  | com.logging.Logging | (Logging.java:14) --- test53
INFO  | com.logging.Logging | (Logging.java:14) --- test54
INFO  | com.logging.Logging | (Logging.java:14) --- test55
INFO  | com.logging.Logging | (Logging.java:14) --- test56
